Organization Name,Organization Name URL,Industries,City,State,Country,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founders,Number of Founders,Number of Employees,Number of Exits,Number of Lead Investments,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status,Delisted Date,Delisted Date Precision,Number of Investors,Number of Lead Investors,Number of Investments,Operating Status,Full Description,Hub Tags,Number of Articles,Investor Type,Investment Stage,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Number of Alumni,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Transaction Name,Transaction Name URL,IPO Status,SimilarWeb - Monthly Visits,SimilarWeb - Bounce Rate,SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Bounce Rate Growth,Stock Symbol,Stock Symbol URL,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),IPO Date,Top 5 Investors,Number of Founders (Alumni),School Method,Number of Enrollments,School Program,School Type,Number of Portfolio Organizations,Number of Exits (IPO),Description,Company Type,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Siftery - Total Products Active,Number of Events,Twitter,Website,Facebook,LinkedIn,Contact Email,Headquarters Regions,FS_COUNTRY_CODE,FactSet_ID,FS_NAME,CB_IPO_DATE,CB_IPO_DATE_+6M ,FS_IPO_DATE,IPO_DATE_TRUE,IPO_DATE_TRUE+6M,FS_Historical_Ticker,IPO_RETURN_TRUE_DATE,IPO_CLASS,LIFETIME_RETURN,LIFETURN_CLASS
Future Lifestyle Fashions,https://www.crunchbase.com/organization/future-lifestyle-fashions,"Fashion, Lifestyle, Retail",Jogeshwari,Maharashtra,India,$100M to $500M,2012-01-01,year,2013-10-11,day,,,389953873.0,USD,389953873.0,5.0,Kishore Biyani,1,101-250,,,IPO,17500000000.0,INR,244241180.0,Post-IPO Equity,389953873.0,USD,389953873.0,,,,,6.0,2.0,,Active,"Future Lifestyle Fashions Limited operates as an integrated fashion company in India. It primarily operates a chain of department retail format stores under the Central name; youth fashion stores under the Brand Factory name; sportswear and sports goods specialty chain under the Planet Sports name; and fashionable, stylish, social media savvy, and selfie-lovers fashion stores under the I Am In name. The company offers formal menswear, casual wear, active or sportswear, women’s ethnic wear, women’s denim wear, women’s casual wear, footwear, and accessories under a portfolio of fashion brands.",,4,,,,,,,Post-IPO Equity,17500000000.0,INR,244241180.0,2019-11-16,,,,,,,,,,,,Public,"10,327",40.85%,-11.76%,236,-29.43%,2.91%,536507,https://www.crunchbase.com/ipo/future-lifestyle-fashions-ipo--6ae2343a,NSE - National Stock Exchange of India,,,,,,,2013-10-11,"Barclays, Blackstone Group, PremjiInvest, Nomura, L Catterton Asia",,,,,,,,Future Lifestyle Fashions is an integrated fashion company,For Profit,0,1,,Clothing; footwear; headgear,14.0,,,http://www.futurelifestyle.in/,,https://www.linkedin.com/company/future-lifestyle-fashions-limited,mediarelations@futuregroup.in,Asia-Pacific (APAC),IN,536507-IN,Future Lifestyle Fashions Ltd.,2013-10-13,2014-04-09,2013-10-01,2013-10-13,2014-04-11,536507-BOM,-0.3428136,0.0,2.3966480999999997,1.0
NIIT Technologies,https://www.crunchbase.com/organization/niit-technologies,Software,New Delhi,Delhi,India,$100M to $500M,2004-04-21,day,2004-09-03,day,,,381000000.0,USD,381000000.0,1.0,"Rajendra Pawar, Vijay Thadani",2,10001+,,,IPO,381000000.0,USD,381000000.0,Post-IPO Equity,381000000.0,USD,381000000.0,2.0,Made Acquisitions,,,1.0,1.0,,Active,"NIIT Technologies is a leading global IT solutions organization, enabling its clients to achieve real world business impact through unparalleled domain expertise working at the intersection of emerging technologies.  The Company focuses on three key verticals: Banking and Financial services, Insurance, Travel and Transportation. This domain strength combined with leading-edge capabilities in Analytics, Cloudification, Cognitive automation, and Digitalization, helps clients innovate business, automate process and industrialize AI. Our vision is to be the ‘First Choice’ of customers in its chosen verticals.  We implement the philosophy of ‘Focus and Differentiate’ that enables us to compete on the strength of our specialization. Our path breaking innovations and tailored made solutions help customers improve time-to market and realize quick Return on Investment (ROI) from their IT implementations. Awards and accolades have been an important part of our organization’s success story. The company has bagged several recognitions at the Indian and global levels. These are related to the company's industry performance, its leadership in the area of outsourcing, its headway in specific industry verticals and its robust HR Practices. NIIT Technologies adheres to major global benchmarks and standards, having secured the ISO 9001:2000 certifications and the ISO:27001 Information Security Management accreditation and follows global standards of development. It has been assessed at Level 5 of SEI CMMi version 1.2. Our Business Process Outsourcing arm conforms to the highest quality standards such as COPC and Six Sigma. Its data center operations are assessed at the international ISO 20000 IT management standards.",,135,,,,,,1.0,Post-IPO Equity,381000000.0,USD,381000000.0,2019-04-06,,,,,,,,,,,,Public,"121,303",24.41%,-3.12%,389,41%,2%,532541,https://www.crunchbase.com/ipo/niit-technologies-ipo--81b42441,NSE - National Stock Exchange of India,,,,,,,2004-09-03,Baring Private Equity Asia,,,,,,,,"NIIT Technologies is a leading IT solutions organization, servicing customers in North America, Europe, Asia and Australia.",,5,5,Computing; Calculating,Scientific and electric apparatus and instruments,27.0,3.0,https://twitter.com/NIITTech,https://www.niit-tech.com,https://www.facebook.com/niit.tech,https://www.linkedin.com/company/niit-technologies-limited,webmaster@niit-tech.com,Asia-Pacific (APAC),IN,532541-IN,NIIT Technologies Limited,2004-09-05,2005-03-02,2004-08-30,2004-09-05,2005-03-04,532541-BOM,-0.18847126,0.0,15.288516,1.0
CAR Inc.,https://www.crunchbase.com/organization/china-auto-rental-holdings,"Automotive, Rental",Beijing,Beijing,China,$100M to $500M,2007-09-01,day,2014-09-19,day,,,350535885.0,USD,350535885.0,3.0,Zhengyao Lu,1,1001-5000,1.0,1.0,IPO,200000000.0,USD,200000000.0,Private Equity,350535885.0,USD,350535885.0,1.0,Made Acquisitions,,,3.0,2.0,2.0,Active,"CAR Inc. (CAR) was established in September 2007 as China Auto Rental Holdings and headquartered in Beijing. As China's largest car rental service provider, CAR is dedicated to providing customers across China with superior car rental services including short-term rental, long-term rental and financial leasing, as well as assorted value-added services as roadside assistance, one-way rentals, etc. As of June 2014, they operated in 70 major cities, at 52 airports across China with over 717 service locations, serving more than 1 million individual customers and nearly 10,000 corporate clients.  Their nationwide service network covers major cities and tourist destinations in mainland China. Alongside with their well-developed website and 24/7 call centers, they provide 24-hour customer service delivering convenience, flexibility and value to their customers, serving to satisfy diversified customer needs as well as to support and ensure customers' safe driving.  Since establishment they have well received encouraging customer and social reviews nationwide. In 2008, CAR acted as the official car rental service provider of the 29th Summer Olympic Games, and was awarded the 21th Century Future Star by China Entrepreneur magazine. In 2009, CAR was listed one of Forbes China's Potential Enterprises. In 2010, CAR was named New Fortune's Highest Potential Business Model and China.com's Annual Best Car Rental Service. In 2011, CAR received the Best Service Award given by China Brand Festival, Best Car Rental Company by National Geographic Traveler and Harvard Business Review’s 5th Management Action Gold Award.  Their ""4 Any"" service philosophy of ""anyone, anytime, anycar and anywhere,"" demonstrates their commitment to delivering superior customer experience and services, to becoming the most trust-worthy car rental brand, as well as continuing acting actively in promoting environment-friendly transportation and the development of automotive industry in China. Roland Berger Strategy Consultants named us the most recognized car rental brand in China, with an indisputable leadership in scale of fleet size, service coverage, market share and revenue.",,4,,,,,,,Private Equity,200000000.0,USD,200000000.0,2012-07-01,,,,,,,,,,,,Public,,,-100%,,,,699,https://www.crunchbase.com/ipo/china-auto-rental-holdings-ipo--8d97e70b,HKG - Hong Kong Stock Exchange,,,,467000000.0,USD,467000000.0,2014-09-19,"Warburg Pincus, Legend Capital, Kleiner Perkins",,,,,,1.0,1.0,CAR Inc. is a provider of car rental services.,For Profit,,,,,2.0,,,http://en.zuche.com/,,https://www.linkedin.com/company/china-auto-rental-inc-,cs@zuche.com,Asia-Pacific (APAC),HK,699-HK,CAR Inc.,2014-09-21,2015-03-18,2014-09-19,2014-09-21,2015-03-20,699-HKG,0.29014599,1.0,-0.5501825,0.0
Bandhan Bank,https://www.crunchbase.com/organization/bandhan-bank,"Banking, Finance, Lending",Kolkata,West Bengal,India,$100M to $500M,2015-08-23,day,2018-03-26,day,,,13420000000.0,INR,206375178.0,2.0,Chandra Shekhar Ghosh,1,10001+,,,IPO,,,,Post-IPO Equity,13420000000.0,INR,206375178.0,,,,,4.0,,,Active,"Bandhan Bank Limited is a commercial bank focused on micro banking and general banking services. Bandhan Bank has a license to provide banking services pan-India across customer segments. Bank offer a variety of asset and liability products and services designed for micro banking and general banking, as well as other banking products and services to generate non-interest income.",,75,,,,,,,Post-IPO Equity,,,,2019-10-30,,,,,,,,,,,,Public,"397,453",53.64%,35.38%,208,-11.51%,0.33%,541153,https://www.crunchbase.com/ipo/bandhan-bank-ipo--abd1c0f8,NSE - National Stock Exchange of India,405150000000.0,INR,6261504151.0,4473000000.0,INR,69129231.0,2018-03-26,"GIC, International Finance Corporation, HDFC Bank, Abu Dhabi Investment Authority",,,,,,,,Bandhan Bank provides microfinance lending services.,,,,,,8.0,,https://twitter.com/bandhanbank_in,https://www.bandhanbank.com/,https://www.facebook.com/BandhanBank/,https://www.linkedin.com/company/bandhanbank/,investors@bandhanbank.com,Asia-Pacific (APAC),IN,541153-IN,Bandhan Bank Ltd.,2018-03-28,2018-09-22,2018-03-27,2018-03-28,2018-09-24,541153-BOM,0.17104434999999998,1.0,-0.12908387,0.0
Kingdee,https://www.crunchbase.com/organization/kingdee,"E-Commerce, Enterprise Software, Government, Software",Shenzhen,Guangdong,China,$1B to $10B,1993-08-08,day,2006-05-31,day,,,205944200.0,USD,205944200.0,4.0,Shaochun Xu,1,1001-5000,,2.0,IPO,171000000.0,USD,171000000.0,Post-IPO Equity,205944200.0,USD,205944200.0,2.0,Made Acquisitions,,,2.0,2.0,2.0,Active,"Kingdee is Chinese software company offering management software, middleware software, as well as online management, consultancy, integration e-commerce server solutions, and informalization services for enterprises and government organizations worldwide. By adopting advanced science and technology, with management services and information products as its core business, Kingdee provides cloud management products and service for over one million companies and government organizations, which makes it the pioneer in software market in China. Today, more than 2000 partners select Kingdee as a win-win development platform. According to IDC authority data, Kingdee has ranked first in China's small and medium enterprise market share for nine consecutive years. Half of the top hundred enterprises in Fortune China have already chosen Kindee.",,10,,,,,,,Post-IPO Equity,171000000.0,USD,171000000.0,2015-05-18,,,,,,,,,,,,Public,"630,324",39.75%,-28.71%,397,-11.32%,-0.72%,268,https://www.crunchbase.com/ipo/kingdee-ipo--a5183a0f,HKG - Hong Kong Stock Exchange,,,,,,,2006-05-31,"JD.com, IDG Capital",,,,,,2.0,,"Kingdee offers management software, online management, consultancy, integration e-commerce server solutions, and informalization services.",For Profit,0,2,,Scientific and electric apparatus and instruments,11.0,,https://twitter.com/kingdee,http://www.kingdee.com,https://www.facebook.com/KingdeeSoftware/,https://www.linkedin.com/company/kingdee-international-software-group,wilson_Ge@kingdee.com,Asia-Pacific (APAC),HK,268-HK,"Kingdee International Software Group Co., Ltd.",2006-06-02,2006-11-27,2001-02-15,2006-06-02,2006-11-29,268-HKG,0.28813553,1.0,15.415436,1.0
Spandana Sphoorty Financial,https://www.crunchbase.com/organization/spandana-sphoorty-financial-limited,"Finance, Financial Services, Micro Lending",Hyderabad,Andhra Pradesh,India,$10M to $50M,1997-01-01,year,2019-08-19,day,,,414404372.0,USD,414404372.0,6.0,G. Padmaja Reddy,1,1001-5000,,,IPO,1250000000.0,INR,19467342.0,Venture - Series Unknown,181385984.0,USD,181385984.0,,,,,8.0,4.0,,Active,"Spandana Sphoorty Financial Ltd is a Micro Finance firm head-quartered at Hyderabad, India. Spandana Sphoorty Financial Ltd (SSFL) has presence pan India with its head office based out of Hyderabad. It has an employee base of 3500+ professionals. The company came in existence with a noble thought of upgrading the economic and social life of rural women, started by a woman for the women.",,,,,,,,,Debt Financing,4000000000.0,INR,63018388.0,2018-01-02,,,,,,,,,,,,Public,"11,172",40.35%,-19.75%,529,183.39%,-2.16%,542759,https://www.crunchbase.com/ipo/spandana-sphoorty-financial-limited-ipo--58b56987,NSE - National Stock Exchange of India,49219000000.0,INR,685833802.0,12000000000.0,INR,167211963.0,2019-08-19,"Yes Bank, IndusInd Bank, Ontario Teachers' Pension Plan, ICICI Bank, Kedaara Capital",,,,,,,,"Spandana Sphoorty Financial Ltd is a Micro Finance firm head-quartered at Hyderabad, India.",,,,,,,,,http://www.spandanaindia.com/,https://www.facebook.com/SpandanaSphoortyFinancialLtd/,https://www.linkedin.com/company/spandana-sphoorty-financial-limited/,contact@spandanaindia.com,Asia-Pacific (APAC),IN,542759-IN,Spandana Sphoorty Financial Ltd.,2019-08-21,2020-02-15,2019-08-19,2019-08-21,2020-02-17,542759-BOM,0.20982063,1.0,0.26121880000000003,1.0
Ujjivan Financial Services,https://www.crunchbase.com/organization/ujjivan-microfinance,"Finance, Financial Services, Insurance",Bangalore,Karnataka,India,$50M to $100M,2005-01-01,year,2016-04-27,day,,,162207711.0,USD,162207711.0,4.0,Samit Ghosh,1,1001-5000,,,IPO,2150000000.0,INR,32890711.0,Private Equity,162207711.0,USD,162207711.0,,,,,11.0,3.0,,Active,Ujjivan is one of the most respected and the largest urban-focused microfinance institution in India.,,29,,,,,,,Private Equity,2150000000.0,INR,32890711.0,2017-11-11,,,,,,,,,,,,Public,"16,195",63.45%,-44.35%,90,-79.27%,1.14%,539874,https://www.crunchbase.com/ipo/ujjivan-microfinance-ipo--cd1b2d5b,NSE - National Stock Exchange of India,375000000.0,USD,375000000.0,40000000.0,USD,40000000.0,2016-04-27,"Sequoia Capital India, Sequoia Capital, International Finance Corporation, Michael & Susan Dell Foundation, FMO",,,,,,,,Provide full range of financial services to the economically active poor to build better lives.,For Profit,,,,,14.0,,https://twitter.com/ujjivanmfi,http://www.ujjivan.com/,https://www.facebook.com/ujjivanmicrofin,https://www.linkedin.com/company/ujjivan-financial-services,ujjivan.blr@ujjivan.com,Asia-Pacific (APAC),IN,539874-IN,Ujjivan Financial Services Ltd.,2016-04-29,2016-10-24,2016-05-10,2016-05-10,2016-11-06,539874-BOM,0.7981434000000001,1.0,0.38989628000000004,1.0
Godrej Properties,https://www.crunchbase.com/organization/godrej-properties,"Architecture, Commercial Real Estate, Real Estate, Real Estate Investment",Mumbai,Maharashtra,India,$10M to $50M,1990-01-01,year,2010-01-15,day,,,147000000.0,USD,147000000.0,1.0,Adi Godrej,1,501-1000,,,IPO,147000000.0,USD,147000000.0,Post-IPO Equity,147000000.0,USD,147000000.0,,,,,1.0,1.0,,Active,"Godrej Properties brings the Godrej Group philosophy of innovation and excellence to the real estate industry. Each Godrej Properties development combines a 119-year legacy of excellence and trust with a commitment to cutting-edge design and technology. Godrej Properties is currently developing residential, commercial and township projects spread across 10.3 million square meters (111 million square feet) in 12 cities. ",,113,,,,,,,Post-IPO Equity,147000000.0,USD,147000000.0,2018-06-08,,,,,,,,,,,,Public,96,100%,-17.79%,,,0%,533150,https://www.crunchbase.com/ipo/godrej-properties-ipo--75c5e43f,NSE - National Stock Exchange of India,,,,,,,2010-01-15,Gamnat,,,,,,,,Godrej Properties brings the Godrej Group philosophy of innovation and excellence to the real estate industry.,For Profit,,,,,,,https://twitter.com/GodrejProp,http://www.godrejgardencityahmedabad.com/,https://www.facebook.com/godrejproperties/,https://www.linkedin.com/company/godrejproperties?trk=tyah,alizakhann25@gmail.com,Asia-Pacific (APAC),IN,533150-IN,Godrej Properties Limited,2010-01-17,2010-07-14,2010-01-05,2010-01-17,2010-07-16,533150-BOM,0.3848039,1.0,2.9116785,1.0
TCNS Clothing,https://www.crunchbase.com/organization/w-for-woman-2,"E-Commerce, Fashion, Retail, Social Shopping",New Delhi,Delhi,India,$50M to $100M,2002-01-01,year,2018-07-20,day,,,140000000.0,USD,140000000.0,1.0,"Arvinder singh Pasricha, Onkar Singh Pasricha",2,251-500,,,IPO,140000000.0,USD,140000000.0,Private Equity,140000000.0,USD,140000000.0,,,,,1.0,1.0,,Active,"W is an online shopping platform dedicated to creating fashion for modern Indian woman. The India-based clothing company offers fashion leadership in the segment through a signature ‘Fusion’ design language which reflects an Indian essence imbued with modernity.W provides modern and trendy wardrobe solutions to Indian women. The W collection consists of work wear, festive wear, tunics, salwar kameez, and mix wear comprising skirts, trousers and a many more.",,1,,,,,,,Private Equity,140000000.0,USD,140000000.0,2016-08-18,,,,,,,,,,,,Public,"359,203",54.63%,16.06%,177,-28.11%,5.93%,541700,https://www.crunchbase.com/ipo/w-for-woman-2-ipo--34f9cca6,NSE - National Stock Exchange of India,40825000000.0,INR,593861371.0,11251000000.0,INR,163662811.0,2018-07-20,TA Associates,,,,,,,,TCNS Clothing is the name behind the evolution of the fashionable contemporary wear brand for women,For Profit,0,0,,Clothing; footwear; headgear,21.0,,https://twitter.com/wforwoman,https://www.wforwoman.com/,https://www.facebook.com/WforWoman/,,customercare@tcnsclothing.com,Asia-Pacific (APAC),IN,541700-IN,TCNS Clothing Co. Limited,2018-07-22,2019-01-16,2018-07-30,2018-07-30,2019-01-26,541700-BOM,0.07114625000000001,1.0,-0.1487534,0.0
Equitas Holdings,https://www.crunchbase.com/organization/equitas-holdings,"Finance, Financial Services, Venture Capital",Chennai,Tamil Nadu,India,$50M to $100M,2007-01-01,year,2016-04-22,day,,,136000000.0,USD,136000000.0,4.0,P.N. Vasudevan,1,501-1000,,,IPO,100000000.0,USD,100000000.0,Private Equity,136000000.0,USD,136000000.0,,,,,16.0,2.0,,Active,"Equitas Holdings Private Limited, through its subsidiaries, provides microfinance, used commercial vehicle finance, and housing finance services in India. It is engaged in extending micro credit to people who are otherwise unable to access finance from the mainstream banking channels. It also provides finance for the purchase of used commercial vehicles; and housing finance for self-employed and salaried segment of low income customers. The company was formerly known as Equitas Micro Finance India Private Limited and changed its name to Equitas Holdings Private Limited in February 2012. Equitas Micro Finance India Private Limited was founded in 2007 and is based in Chennai, India.",,49,,,,,,,Private Equity,100000000.0,USD,100000000.0,2016-04-04,,,,,,,,,,,,Public,"2,816",54.31%,38.73%,58,-9.2%,4.91%,539844,https://www.crunchbase.com/ipo/equitas-holdings-ipo--f377324e,NSE - National Stock Exchange of India,728000000.0,USD,728000000.0,98000000.0,USD,98000000.0,2016-04-22,"Sequoia Capital India, Microventures, Caspian Impact Investments, International Finance Corporation, PremjiInvest",,,,,,,,"Equitas Holdings provides microfinance, used commercial vehicle finance, and housing finance services in India.",For Profit,,,,,7.0,,,http://www.equitas.in,https://www.facebook.com/Equitas-Holdings-Limited-443115445723783/,https://www.linkedin.com/company/627509?trk=prof-0-ovw-curr_pos,corporate@equitas.in,Asia-Pacific (APAC),IN,539844-IN,Equitas Holdings Ltd.,2016-04-24,2016-10-19,2016-04-21,2016-04-24,2016-10-21,539844-BOM,0.3301854,1.0,-0.31086086,0.0
Dish TV India,https://www.crunchbase.com/organization/dish-tv-india,Hardware,Noida,Uttar Pradesh,India,,2003-01-01,year,2007-04-27,day,,,100000000.0,USD,100000000.0,1.0,Ashok Kurien,1,1001-5000,,,IPO,100000000.0,USD,100000000.0,Post-IPO Equity,100000000.0,USD,100000000.0,1.0,Made Acquisitions,,,1.0,1.0,,Active,"Dish Tv- DTH Service provider in India, offers set top box, channel packages for existing & new customer",,35,,,,,,,Post-IPO Equity,100000000.0,USD,100000000.0,2009-11-23,,,,,,,,,,,,Public,"1,442,045",35.68%,-6.65%,407,6.88%,-1.45%,532839,https://www.crunchbase.com/ipo/dish-tv-india-ipo--54e17f70,NSE - National Stock Exchange of India,,,,,,,2007-04-27,Apollo,,,,,,,,"Dish Tv- DTH Service provider in India, offers set top box, channel packages for existing & new customer",For Profit,,,,,17.0,,http://twitter.com/DishTV_India,http://www.dishtv.in,http://www.facebook.com/dishtvindia,,corporatesales@dishtv.in,Asia-Pacific (APAC),IN,532839-IN,Dish TV India Limited,2007-04-29,2007-10-24,2007-04-18,2007-04-29,2007-10-26,532839-BOM,-0.3849074,0.0,-0.9317513,0.0
Digital Domain Holdings,https://www.crunchbase.com/organization/digital-domain-holdings,"Animation, Creative Agency, Digital Media",Central,Hong Kong Island,Hong Kong,,1992-01-01,year,2005-09-30,day,,,95784005.0,USD,95784005.0,3.0,"James Cameron, Scott Ross, Stan Winston",3,251-500,,,IPO,550000000.0,HKD,70084005.0,Post-IPO Equity,95784005.0,USD,95784005.0,3.0,Made Acquisitions,,,5.0,4.0,,Active,"Digital Domain Holdings Corporation operates as a visual effects and animation company. The company was formerly known as Wyndcrest DD Florida, Inc., and changed its name to Digital Domain Holdings Corporation in March, 2010.",,1,,,,,,,Post-IPO Equity,550000000.0,HKD,70084005.0,2019-03-25,,,,,,,,,,,,Public,280,22.89%,77.97%,,,22.89%,547,https://www.crunchbase.com/ipo/digital-domain-holdings-ipo--c60e20e8,HKG - Hong Kong Stock Exchange,,,,,,,2005-09-30,"SoftBank, SBCVC, Palm Beach Capital, Poly Culture Group, CITIC M&A Fund",,,,,,,,Digital Domain Holdings operates as a visual effects and animation company based in the United States.,For Profit,,,,,10.0,,,http://www.ddhl.com,https://www.facebook.com/digitaldomainasia,https://www.linkedin.com/company/157308?trk=prof-exp-company-name,enquiry@ddhl.com,Asia-Pacific (APAC),HK,547-HK,Digital Domain Holdings Limited,2005-10-02,2006-03-29,1992-09-15,2005-10-02,2006-03-31,547-HKG,-0.14999991,0.0,-0.8430108,0.0
Forgame,https://www.crunchbase.com/organization/forgame,"Gamification, Gaming, Online Games",Guangzhou,Guangdong,China,$1M to $10M,2009-01-01,year,2013-10-11,day,,,88790000.0,USD,88790000.0,3.0,Dong Feng Wang,1,5001-10000,1.0,2.0,IPO,16000000.0,USD,16000000.0,Post-IPO Equity,88790000.0,USD,88790000.0,,,,,3.0,3.0,2.0,Active,"Forgame Group (Forgame云游控股) is a Chinese company focused on developing and launching cloud games. Founded in 2009, Forgame is headquartered in Guangzhou. It consists of Feiyin and Jieyou, both of which are brands of game research and development, and Weidong launching platform. Forgame has launched more than 20 sets of self-developed cloud games, including Ming Dynasty, Wan, Wan2, Dream Faerie, Nine Fairy Dream and the Myth in Foreworld, and more. Besides being issued in 91wan of Forgame, these games are also issued on more than 100 platforms, such as, 4399, 360, Baidu, Duowan and PPS, and others with the model of joint operation. In addition, 91wan has successfully launched more than 50 vicegerent games, such as UUYX and Hero Expedition.",,10,,,,,,,Post-IPO Equity,16000000.0,USD,16000000.0,2014-12-30,,,,,,,,,,,,Public,"1,223",19.04%,-48.3%,7,-90.57%,-26.98%,484,https://www.crunchbase.com/ipo/forgame-ipo--bc6337b0,HKG - Hong Kong Stock Exchange,,,,,,,2013-10-11,"Qiming Venture Partners, TA Associates, KongZhong",,,,,,2.0,1.0,Forgame is a Chinese company focused on developing and launching cloud games.,,,,,,4.0,,,http://www.forgame.com,https://www.facebook.com/forgameus/,https://www.linkedin.com/company/forgame,,Asia-Pacific (APAC),HK,484-HK,Forgame Holdings Ltd.,2013-10-13,2014-04-09,2013-10-03,2013-10-13,2014-04-11,484-HKG,-0.3943982,0.0,-0.9515518000000001,0.0
Just Dial,https://www.crunchbase.com/organization/just-dial,"Information Services, Internet, Local, Search Engine",Mumbai,Maharashtra,India,$10M to $50M,1997-11-14,day,2013-06-14,day,,,85000000.0,USD,85000000.0,3.0,V.S.S. Mani,1,10001+,,,IPO,18000000.0,USD,18000000.0,Post-IPO Equity,85000000.0,USD,85000000.0,,,,,6.0,3.0,,Active,"Just Dial Limited is India's No. 1 Local Search engine that provides local search related services to users across India through multiple platforms such as website, mobile website, Apps (Android, iOS, Windows), over the telephone (voice, pan India number 8888888888) and text (SMS).Justdial has also initiated ‘Search Plus’ services for its users. These services aim at making several day-to-day tasks conveniently actionable and accessible to users through one App. By doing so, it has transitioned from being purely a provider of local search and related information to being an enabler of such transactions. Justdial has also recently launched JD Omni, an end-to-end business management solution for SMEs, through which it intends to transition thousands of SMEs to efficiently run their business online and have adequate online presence via their own website and mobile site. Apart from this, it has also launched JD Pay, a unique solution for quick digital payments for its users and vendors, and JD Social, its official social sharing platform to provide curated content on latest happenings to users. The organisation also aims to make communication between users and businesses seamless through its Real Time Chat Messenger. Justdial's Mission To provide fast, free, reliable and comprehensive information to our users and connect buyers to sellers. Corporate Information The company's operations began in 1996 with offering local search services under the Justdial brand, which is now the leading local search engine in India. The official website www.justdial.com was launched in 2007. Justdial's search services are available to users across multiple platforms such as website, mobile website, Apps, voice and text (SMS). Justdial's search services bridge the gap between users and businesses by helping users find relevant providers of products and services effortlessly, while helping businesses listed in Justdial's database to market their offerings. Justdial Facts Justdial Apps are available on Android, iOS, Windows and Blackberry platforms and have location - based services for mobile internet users. Justdial's voice services are available on 8888888888, their operator assisted hot line number, across India, which is accessible 24 hours a day, 7 days a week with multi-lingual support. Justdial has a database of approximately 21.8 million listings as of March 31, 2018. It has 112 million quarterly unique users across web, mobile, App & voice platforms as of March 31, 2018. Justdial users have contributed 87,917,069 reviews and ratings for various listings, till date. Justdial had approximately 445,110 campaigns as of March 31, 2018. Business owners have the option to list their business on Justdial's database for free. With the registered & corporate office based in Mumbai, Justdial also has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Coimbatore, Delhi, Hyderabad, Jaipur, Kolkata and Pune.",,16,,,,,,,Post-IPO Equity,18000000.0,USD,18000000.0,2016-01-25,,,,,,,,,,,,Public,"67,671,488",58.99%,-26.04%,142,15.55%,-1.42%,535648,https://www.crunchbase.com/ipo/just-dial-ipo--b5caa617,NSE - National Stock Exchange of India,,,,,,,2013-06-14,"Norwest Venture Partners, Sequoia Capital India, Matrix Partners India, eBay, Sapphire Ventures",,,,,,,,Just Dial is India's No.1 local search engine catering to over 125 million unique quarterly users (as per Q1 FY19),For Profit,0,2,,Advertising; business,15.0,,https://twitter.com/just_dial,https://www.justdial.com,https://www.facebook.com/JustDial/,https://www.linkedin.com/company/justdial,mumbai@justdial.com,Asia-Pacific (APAC),IN,535648-IN,Just Dial Ltd.,2013-06-16,2013-12-11,2013-06-05,2013-06-16,2013-12-13,535648-BOM,0.8455427600000001,1.0,-0.24543141999999998,0.0
